코드값,코드값의미
UIG540,전이표면구역
UIG550,착륙복행표면구역
UIG560,내부전이표면구역
UIG570,내부진입표면구역
UIG600,장애물제한표면구역
UII100,도시교통정비지역
UIJ100,노상주차장
UIJ200,노외주차장
UIJ300,부설주차장
UIJ400,주차환경개선지구
UIJ500,노외주차장설치제한지역
UIJ999,주차장기타
UIK100,철도보호지구
UIL100,미리나항만구역
UIN100,제1종 구역
UIN200,제2종 구역
UIN300,제3종 구역
UIZ000,교통기타용도지역지구미분류
UJA100,댐건설예정지역
UJB000,하천미분류
UJB100,하천구역
UJB200,하천예정지
UJB300,연안구역
UJB400,홍수관리구역
UJB999,하천기타
UJC100,소하천구역
UJC200,소하천예정지
UJC999,소하천기타
UJD100,온천지구
UJD200,온천공보호구역
UJD300,온천원보호지구
UJE100,지하수보전구역
UJF100,공유수면
UJF200,공유수면매립지
UJG100,친수구역
UKB100,무선방위측정장치보호구역
ULB100,전원개발사업구역
ULB110,발전소(전원개발사업구역)
ULB120,변전소(전원개발사업구역)
ULB200,전원개발사업예정구역
ULB999,전원개발기타
ULC100,집단에너지공급대상지역
ULD100,광구
UM1100,공장설립제한지역
UM2100,공장설립승인지역
UM2999,공장설립승인지역기타
UMA100,국립공원
UMA200,도립공원
UMA300,군립공원
UMA400,공원보호구역
UMA500,구립공원
UMA600,시립공원
UMA999,공원구역기타
UMB000,자연공원용도지구미분류
UMB100,공원자연보존지구
UMB200,공원자연환경지구
UMB310,공원마을지구
UMB320,공원마을지구(공원밀집마을지구)
UMB400,공원마을지구(공원집단시설지구)
UMB500,공원문화유산지구
UMB999,자연공원용도지구기타
UMC100,생태계보전지역
UMC300,자연유보지역
UMC400,자연휴식지
UMC500,생태·경관보전지역
UMC510,생태·경관핵심보전구역
UMC520,생태·경관완충보전구역
UMC530,생태·경관전이보전지역
UMC600,시·도 생태·경관보전지역
UME100,대기환경규제지역
UMG100,폐기물처리시설설치지역
UMG200,폐기물처리시설입지
UMG999,폐기물처리시설설치지역기타
UMH200,교통소음진동관리지역
UMH300,생활소음진동관리지역
UMI100,상수원보호구역
UMI999,상수원보호기타
UMJ100,환경정비구역
UMJ999,환경정비구역기타
UMK100,(한강)수변구역
UMK200,(한강)상수원보호구역
UMK300,(한강)오염행위 제한지역
UMK400,(한강)건축 등 허가제한지역
UMK500,(한강)폐수배출시설 설치제한지역
UMK600,(한강)폐기물매립시설 설치제한지역
UMK999,(한강)수계수변구역기타
UML100,배수구역
UML200,하수처리구역
UML999,하수용도구역기타
UMM100,특별대책지역
UMM200,수질보전특별대책지역
UMN200,배출시설설치제한지역
UMO100,특별관리해역
UMO200,환경보전해역
UMQ100,습지보호지역
UMQ200,습지주변관리지역
UMQ300,습지개선지역
UMR100,특정도서
UMS000,야생생물보호구역미분류
UMS100,야생생물특별보호구역
UMS210,시·도야생생물보호구역
UMS220,야생생물보호구역
UMU100,(금강)수변구역
UMU200,(금강)상수원보호구역
UMU300,(금강)오염행위 제한지역
UMU400,(금강)건축 등 허가제한지역
UMU500,(금강)폐수배출시설 설치제한지역
UMU600,(금강)폐기물매립시설 설치제한지역
UMV100,(낙동강)수변구역
UMV200,(낙동강)상수원보호구역
UMV300,(낙동강)오염행위 제한지역
UMV400,(낙동강)건축 등 허가제한지역
UMV500,(낙동강)폐수배출시설 설치제한지역
UMV600,(낙동강)폐기물매립시설 설치제한지역
UMW100,(영산강·섬진강)수변구역
UMW200,(영산강·섬진강)상수원보호구역
UMW300,(영산강·섬진강)오염행위 제한지역
UMW400,(영산강·섬진강)건축 등 허가제한지역
UMW500,(영산강·섬진강)폐수배출시설 설치제한지역
UMW600,(영산강·섬진강)폐기물매립시설 설치제한지역
UMX100,대기관리권역
UMY100,해양보호구역
UMY110,해양생물보호구역
UMY120,해양생태계보호구역
UMY130,해양경관보호구역
UMY300,시·도해양보호구역
UMY310,시·도해양생물보호구역
UMY320,시·도해양생태계보호구역
UMY330,시·도해양경관보호구역
UMZ100,가축사육제한구역
UMZ999,가축사육제한구역기타
UOA100,교육환경보호구역
UOA110,절대보호구역
UOA120,상대보호구역
UOA999,교육환경보호구역기타
UOB100,청소년수련지구
UOB999,청소년수련지구기타
UOC000,보호구역미분류
UOC100,문화재보호구역
UOC200,문화재
UOC400,등록문화재구역
UOC500,지정문화재구역
UOC510,국가지정문화재구역
UOC520,시도지정문화재구역
UOC530,문화재자료구역
UOC600,임시지정문화재구역
UOC700,조례로정한지역
UOC800,역사문화환경보존지역
UOC999,보호구역기타
UOD100,전통건조물보존지구
UOD200,보존대상전통건조물보호구역
UOE100,전통사찰보존지
UOE200,전통사찰보존구역
UOE300,전통사찰역사문화보존구역
UOF000,관광지미분류
UOF100,관광지
UOF200,관광단지
UOF300,관광특구
UOF999,관광지기타
UOG100,역사문화환경 특별보존지구
UOG200,역사문화환경 보존육성지구
UOH100,문화지구
UOI100,청소년수련지구
UOJ100,묘지등설치제한지역
UOZ100,교육문화기타용도지역지구용도지역지구
UOZ999,교육문화기타용도지역지구기타
UPA100,화재경계지구
UPB000,자연재해위험개선지구미분류
UPB100,재해위험지구
UPB200,자연재해위험개선지구
UPB210,침수위험지구
UPB220,유실위험지구
UPB230,고립위험지구
UPB240,붕괴위험지구
UPB250,해일위험지구
UPB260,취약방재시설지구
UPB270,상습가뭄재해지구
UPB999,자연재해위험개선지구기타
UPE100,붕괴위험지역
UPF100,재해위험 개선사업지구
UPG100,위험저수지·댐 정비지구
UQA000,도시지역미분류
UQA001,도시지역
UQA002,도시관리계획 입안중
UQA100,주거지역
UQA110,전용주거지역
UQA111,제1종전용주거지역
UQA112,제2종전용주거지역
UQA120,일반주거지역
UQA121,제1종일반주거지역
UQA122,제2종일반주거지역
UQA123,제3종일반주거지역
UQA130,준주거지역
UQA200,상업지역
UQA210,중심상업지역
UQA220,일반상업지역
UQA230,근린상업지역
UQA240,유통상업지역
UQA300,공업지역
UQA310,전용공업지역
UQA320,일반공업지역
UQA330,준공업지역
UQA400,녹지지역
UQA410,보전녹지지역
UQA420,생산녹지지역
UQA430,자연녹지지역
UQA500,도시지역미지정
UQA999,도시지역기타
UQB000,관리지역미분류
UQB001,관리지역
UQB100,계획관리지역
UQB200,생산관리지역
UQB300,보전관리지역
UQB999,관리지역기타
UQC000,농림지역미분류
UQC001,농림지역
UQC999,농림지역기타
UQD000,자연환경보전지역미분류
UQD001,자연환경보전지역
UQD999,자연환경보전지역기타
UQE000,국토이용용도지역미분류
UQE999,국토이용용도지역기타
UQF000,경관지구미분류
UQF100,경관지구
UQF110,자연경관지구
UQF120,특화경관지구
UQF130,시가지경관지구
UQF131,시가지경관지구(중심)
UQF132,시가지경관지구(일반)
UQF999,경관지구기타
UQG000,미관지구미분류
UQG100,미관지구
UQG999,미관지구기타
UQH000,고도지구미분류
UQH100,고도지구
UQH999,고도지구기타
UQI000,방화지구미분류
UQI100,방화지구
UQI999,방화지구기타
UQJ000,방재지구미분류
UQJ100,방재지구
UQJ200,시가지방재지구
UQJ300,자연방재지구
UQJ999,방재지구기타
UQK000,보존지구미분류
UQK100,보존지구
UQK110,역사문화환경보호지구
UQK120,중요시설물보호지구
UQK121,중요시설물보호지구(공항)
UQK122,중요시설물보호지구(항만)
UQK123,중요시설물보호지구(공용)
UQK130,생태계보호지구
UQK999,보존지구기타
UQL000,시설보호지구미분류
UQL100,시설보호지구
UQL999,시설보호지구기타
UQM000,용도지구취락미분류
UQM100,용도지구취락지구
UQM110,자연취락지구
UQM120,집단취락지구
UQM999,용도지구취락기타
UQN000,개발진흥미분류
UQN100,개발진흥지구
UQN110,주거개발진흥지구
UQN120,산업개발진흥지구
UQN130,유통개발진흥지구
UQN140,관광ㆍ휴양개발진흥지구
UQN150,복합개발진흥지구
UQN160,특정개발진흥지구
UQN170,산업ㆍ유통개발진흥지구
UQN999,개발진흥기타
UQO000,특정용도미분류
UQO100,특정용도제한지구
UQO999,특정용도기타
UQP000,국토이용용도지구미분류
UQP100,국토이용기타용도지구
UQP120,위락지구
UQP130,리모델링지구
UQP999,국토이용용도지구기타
UQP500,복합용도지구미분류
UQP501,복합용도지구
UQP599,복합용도지구기타
UQQ000,용도구역미분류
UQQ100,도시계획구역
UQQ200,시가화조정구역
UQQ300,지구단위계획구역
UQQ310,제1종지구단위계획구역
UQQ320,제2종지구단위계획구역
UQQ321,주거용지
UQQ322,상업용지
UQQ323,공업용지
UQQ324,녹지용지
UQQ325,공공시설용지
UQQ329,기타용지
UQQ400,광역계획구역
UQQ500,수산자원보호구역
UQQ600,토지거래계약에관한허가구역
UQQ700,개발밀도관리구역
UQQ810,도시자연공원구역
UQQ900,개발행위허가제한지역
UQQ901,입지규제최소구역
UQQ902,성장관리계획구역
UQQ903,도시혁신구역
UQQ904,복합용도구역
UQQ905,도시군계획시설입체복합구역
UQQ999,용도구역기타
UQR000,사업지역미분류
UQR100,일단의주택단지조성사업지역
UQR200,시가지조성사업지역
UQR300,일단의공업용지조성사업지역
UQR400,도시계획시설의 부지
UQR999,사업지역기타
UQS000,교통운수시설미분류
UQS100,도로
UQS101,일반도로
UQS102,자동차전용도로
UQS103,보행자전용도로
UQS104,자전거전용도로
UQS105,고가도로
UQS106,지하도로
UQS107,보행자우선도로
UQS111,광로1류(폭 70m 이상)
UQS112,광로2류(폭 50m~70m)
UQS113,광로3류(폭 40m~50m)
UQS114,대로1류(폭 35m~40m)
UQS115,대로2류(폭 30m~35m)
UQS116,대로3류(폭 25m~30m)
UQS117,중로1류(폭 20m~25m)
UQS118,중로2류(폭 15m~20m)
UQS119,중로3류(폭 12m~15m)
UQS120,소로1류(폭 10m~12m)
UQS121,소로2류(폭 8m~10m)
UQS122,소로3류(폭 8m 미만)
UQS131,주간선도로
UQS132,보조간선도로
UQS133,집산도로
UQS134,국지도로
UQS141,도시고속도로
UQS142,특수도로(보행자전용도로)
UQS143,특수도로(자전거전용도로)
UQS190,기타도로시설
UQS200,주차장
UQS210,노외주차장
UQS290,기타주차장시설
UQS300,자동차정류장
UQS310,여객자동차터미널
UQS320,물류터미널
UQS330,공영차고지
UQS390,기타자동차정류장
UQS400,차량검사및면허시설
UQS410,자동차검사시설
UQS420,검사소
UQS430,운전면허시험장
UQS490,기타차량검사및면허시설
UQS500,철도
UQS510,일반철도
UQS520,도시철도
UQS530,고속철도
UQS540,국유철도사업시설
UQS549,기타철도시설
UQS550,궤도
UQS559,기타궤도시설
UQS560,삭도
UQS569,기타삭도시설
UQS700,항만
UQS710,항만시설
UQS720,어항시설
UQS790,기타항만시설
UQS800,공항
UQS810,공항시설
UQS890,기타공항시설
UQS999,기타교통시설
UQT000,공간시설미분류
UQT100,광장
UQT110,교통광장
UQT111,교차점광장
UQT112,역전광장
UQT113,주요시설광장
UQT120,일반광장
UQT121,중심대광장
UQT122,근린광장
UQT130,경관광장
UQT140,지하광장
UQT150,건축물부설광장
UQT190,기타광장시설
UQT200,공원
UQT210,어린이공원
UQT220,근린공원
UQT221,문화공원
UQT222,역사공원
UQT230,도시자연공원
UQT231,도시농업공원
UQT240,묘지공원
UQT250,체육공원
UQT251,수변공원
UQT252,방재공원
UQT260,소공원
UQT290,기타공원시설
UQT300,녹지
UQT310,완충녹지
UQT320,경관녹지
UQT330,연결녹지
UQT390,기타녹지시설
UQT400,유원지
UQT490,기타유원지시설
UQT500,공공공지
UQT590,기타공공공지시설
UQT600,도시자연공원구역
